,latitude,longitude,acq_date
585,-37.077,147.07,1/01/2020
586,-36.986999999999995,147.344,1/01/2020
587,-37.009,146.993,1/01/2020
588,-36.982,147.363,1/01/2020
589,-36.984,147.336,1/01/2020
590,-37.007,146.985,1/01/2020
591,-36.961,146.784,1/01/2020
592,-36.948,146.746,1/01/2020
593,-36.961,146.779,1/01/2020
594,-36.908,146.674,1/01/2020
595,-36.597,147.83100000000002,1/01/2020
596,-36.412,147.903,1/01/2020
597,-36.423,147.739,1/01/2020
598,-36.431,147.733,1/01/2020
599,-36.405,147.89600000000002,1/01/2020
600,-36.391,147.893,1/01/2020
601,-36.24,147.695,1/01/2020
602,-36.128,147.624,1/01/2020
603,-36.13,147.597,1/01/2020
604,-35.985,148.332,1/01/2020
605,-35.974000000000004,148.30200000000002,1/01/2020
606,-35.94,148.218,1/01/2020
607,-35.942,148.19299999999998,1/01/2020
608,-35.945,148.214,1/01/2020
609,-35.921,148.343,1/01/2020
610,-35.931,148.21200000000002,1/01/2020
611,-35.91,148.315,1/01/2020
612,-35.92,148.185,1/01/2020
613,-35.897,148.314,1/01/2020
614,-19.84,144.585,1/01/2020
615,-32.644,150.797,1/01/2020
616,-32.633,150.796,1/01/2020
617,-32.634,150.781,1/01/2020
618,-32.696,150.211,1/01/2020
619,-32.622,150.79399999999998,1/01/2020
620,-32.624,150.779,1/01/2020
621,-32.685,150.209,1/01/2020
622,-32.613,150.77700000000002,1/01/2020
623,-32.615,150.762,1/01/2020
624,-32.616,150.746,1/01/2020
625,-32.618,150.731,1/01/2020
626,-32.62,150.715,1/01/2020
627,-32.622,150.69899999999998,1/01/2020
628,-32.623000000000005,150.684,1/01/2020
629,-32.676,150.189,1/01/2020
630,-32.677,150.172,1/01/2020
631,-32.679,150.155,1/01/2020
632,-32.684,150.10399999999998,1/01/2020
633,-32.611999999999995,150.683,1/01/2020
634,-32.614000000000004,150.668,1/01/2020
635,-32.668,150.153,1/01/2020
636,-32.67,150.137,1/01/2020
637,-32.671,150.12,1/01/2020
638,-32.605,150.651,1/01/2020
639,-32.585,150.632,1/01/2020
640,-32.574,150.63,1/01/2020
641,-32.579,150.583,1/01/2020
642,-32.616,150.215,1/01/2020
643,-32.565,150.613,1/01/2020
644,-32.566,150.59799999999998,1/01/2020
645,-32.568000000000005,150.58100000000002,1/01/2020
646,-32.588,150.39,1/01/2020
647,-32.604,150.22899999999998,1/01/2020
648,-32.605,150.21200000000002,1/01/2020
649,-32.57,150.639,1/01/2020
650,-32.571,150.623,1/01/2020
651,-32.575,150.592,1/01/2020
652,-32.614000000000004,150.224,1/01/2020
653,-32.562,150.606,1/01/2020
654,-32.564,150.59,1/01/2020
655,-32.569,150.542,1/01/2020
656,-32.578,150.463,1/01/2020
657,-32.579,150.446,1/01/2020
658,-32.580999999999996,150.431,1/01/2020
659,-32.584,150.4,1/01/2020
660,-32.586,150.382,1/01/2020
661,-32.602,150.239,1/01/2020
662,-32.603,150.222,1/01/2020
663,-32.605,150.20600000000002,1/01/2020
664,-32.558,150.541,1/01/2020
665,-32.56,150.525,1/01/2020
666,-32.592,150.22,1/01/2020
667,-32.594,150.204,1/01/2020
668,-32.551,150.50799999999998,1/01/2020
669,-32.552,150.49200000000002,1/01/2020
670,-32.580999999999996,150.219,1/01/2020
671,-32.583,150.202,1/01/2020
672,-32.563,150.28,1/01/2020
673,-32.57,150.217,1/01/2020
674,-32.571999999999996,150.2,1/01/2020
675,-32.554,150.263,1/01/2020
676,-32.556,150.248,1/01/2020
677,-32.556999999999995,150.232,1/01/2020
678,-32.559,150.215,1/01/2020
679,-32.543,150.261,1/01/2020
680,-32.544000000000004,150.246,1/01/2020
681,-32.546,150.23,1/01/2020
682,-32.114000000000004,151.35399999999998,1/01/2020
683,-32.116,151.34,1/01/2020
684,-32.051,151.44799999999998,1/01/2020
685,-32.053000000000004,151.434,1/01/2020
686,-32.056,151.405,1/01/2020
687,-32.041,151.446,1/01/2020
688,-32.042,151.433,1/01/2020
689,-32.044000000000004,151.41899999999998,1/01/2020
690,-32.032,151.431,1/01/2020
691,-32.034,151.417,1/01/2020
692,-32.035,151.403,1/01/2020
693,-32.037,151.387,1/01/2020
694,-32.027,151.41,1/01/2020
695,-31.808000000000003,151.8,1/01/2020
696,-31.799,151.785,1/01/2020
697,-31.8,151.793,1/01/2020
698,-31.791,151.778,1/01/2020
699,-31.781,151.77700000000002,1/01/2020
700,-31.783,151.764,1/01/2020
701,-31.766,151.814,1/01/2020
702,-31.768,151.80200000000002,1/01/2020
703,-31.773000000000003,151.763,1/01/2020
704,-31.608,152.121,1/01/2020
705,-31.609,152.109,1/01/2020
706,-31.611,152.096,1/01/2020
707,-31.612,152.084,1/01/2020
708,-31.614,152.07,1/01/2020
709,-31.598000000000003,152.12,1/01/2020
710,-31.6,152.107,1/01/2020
711,-31.59,152.105,1/01/2020
